tau,Sstar,Vstar
0.853667,70.5,29.5
0.853333,70.5,29.5
0.853,70.5,29.5
0.852667,70.5,29.5
0.852333,70.5,29.5
0.852,70.5,29.5
0.851667,70.5,29.5
0.851333,70.5,29.5
0.851,70.5,29.5
0.850667,70.5,29.5
0.850333,70.5,29.5
0.85,70.5,29.5
0.849667,70.5,29.5
0.849333,70.5,29.5
0.849,70.5,29.5
0.848667,70.5,29.5
0.848333,70.5,29.5
0.848,70.5,29.5
0.847667,70.5,29.5
0.847333,70.5,29.5
0.847,70.5,29.5
0.846667,70.5,29.5
0.846333,70.5,29.5
0.846,70.5,29.5
0.845667,70.5,29.5
0.845333,70.5,29.5
0.845,70.5,29.5
0.844667,70.5,29.5
0.844333,70.5,29.5
0.844,70.5,29.5
0.843667,70.5,29.5
0.843333,70.5,29.5
0.843,70.5,29.5
0.842667,70.5,29.5
0.842333,70.5,29.5
0.842,70.5,29.5
0.841667,70.5,29.5
0.841333,70.5,29.5
0.841,70.5,29.5
0.840667,70.5,29.5
0.840333,70.5,29.5
0.84,70.5,29.5
0.839667,70.5,29.5
0.839333,70.5,29.5
0.839,70.5,29.5
0.838667,70.5,29.5
0.838333,70.5,29.5
0.838,70.5,29.5
0.837667,70.5,29.5
0.837333,70.5,29.5
0.837,70.5,29.5
0.836667,70.5,29.5
0.836333,70.5,29.5
0.836,70.5,29.5
0.835667,70.5,29.5
0.835333,70.5,29.5
0.835,70.5,29.5
0.834667,70.5,29.5
0.834333,70.5,29.5
0.834,70.5,29.5
0.833667,70.5,29.5
0.833333,70.5,29.5
0.833,70.5,29.5
0.832667,70.5,29.5
0.832333,70.5,29.5
0.832,70.5,29.5
0.831667,70.5,29.5
0.831333,70.5,29.5
0.831,70.5,29.5
0.830667,70.5,29.5
0.830333,70.5,29.5
0.83,70.5,29.5
0.829667,70.5,29.5
0.829333,70.5,29.5
0.829,70.5,29.5
0.828667,70.5,29.5
0.828333,70.5,29.5
0.828,70.5,29.5
0.827667,70.5,29.5
0.827333,70.5,29.5
0.827,70.5,29.5
0.826667,70.5,29.5
0.826333,70.5,29.5
0.826,70.5,29.5
0.825667,70.5,29.5
0.825333,70.5,29.5
0.825,70.5,29.5
0.824667,70.5,29.5
0.824333,70.5,29.5
0.824,70.5,29.5
0.823667,70.5,29.5
0.823333,70.5,29.5
0.823,70.5,29.5
0.822667,70.5,29.5
0.822333,70.5,29.5
0.822,70.5,29.5
0.821667,70.5,29.5
0.821333,70.5,29.5
0.821,70.5,29.5
0.820667,70.5,29.5
0.820333,70.5,29.5
0.82,70.5,29.5
0.819667,70.5,29.5
0.819333,70.5,29.5
0.819,70.5,29.5
0.818667,70.5,29.5
0.818333,70.5,29.5
0.818,70.5,29.5
0.817667,70.5,29.5
0.817333,70.5,29.5
0.817,70.5,29.5
0.816667,70.5,29.5
0.816333,70.5,29.5
0.816,70.5,29.5
0.815667,70.5,29.5
0.815333,70.5,29.5
0.815,70.5,29.5
0.814667,70.5,29.5
0.814333,70.5,29.5
0.814,70.5,29.5
0.813667,70.5,29.5
0.813333,70.5,29.5
0.813,70.5,29.5
0.812667,70.5,29.5
0.812333,70.5,29.5
0.812,70.5,29.5
0.811667,70.5,29.5
0.811333,70.5,29.5
0.811,70.5,29.5
0.810667,70.5,29.5
0.810333,70.5,29.5
0.81,70.5,29.5
0.809667,70.5,29.5
0.809333,70.5,29.5
0.809,70.5,29.5
0.808667,70.5,29.5
0.808333,70.5,29.5
0.808,70.5,29.5
0.807667,70.5,29.5
0.807333,70.5,29.5
0.807,70.5,29.5
0.806667,70.5,29.5
0.806333,70.5,29.5
0.806,70.5,29.5
0.805667,70.5,29.5
0.805333,70.5,29.5
0.805,70.5,29.5
0.804667,70.5,29.5
0.804333,70.5,29.5
0.804,71,29
0.803667,71,29
0.803333,71,29
0.803,71,29
0.802667,71,29
0.802333,71,29
0.802,71,29
0.801667,71,29
0.801333,71,29
0.801,71,29
0.800667,71,29
0.800333,71,29
0.8,71,29
0.799667,71,29
0.799333,71,29
0.799,71,29
0.798667,71,29
0.798333,71,29
0.798,71,29
0.797667,71,29
0.797333,71,29
0.797,71,29
0.796667,71,29
0.796333,71,29
0.796,71,29
0.795667,71,29
0.795333,71,29
0.795,71,29
0.794667,71,29
0.794333,71,29
0.794,71,29
0.793667,71,29
0.793333,71,29
0.793,71,29
0.792667,71,29
0.792333,71,29
0.792,71,29
0.791667,71,29
0.791333,71,29
0.791,71,29
0.790667,71,29
0.790333,71,29
0.79,71,29
0.789667,71,29
0.789333,71,29
0.789,71,29
0.788667,71,29
0.788333,71,29
0.788,71,29
0.787667,71,29
0.787333,71,29
0.787,71,29
0.786667,71,29
0.786333,71,29
0.786,71,29
0.785667,71,29
0.785333,71,29
0.785,71,29
0.784667,71,29
0.784333,71,29
0.784,71,29
0.783667,71,29
0.783333,71,29
0.783,71,29
0.782667,71,29
0.782333,71,29
0.782,71,29
0.781667,71,29
0.781333,71,29
0.781,71,29
0.780667,71,29
0.780333,71,29
0.78,71,29
0.779667,71,29
0.779333,71,29
0.779,71,29
0.778667,71,29
0.778333,71,29
0.778,71,29
0.777667,71,29
0.777333,71,29
0.777,71,29
0.776667,71,29
0.776333,71,29
0.776,71,29
0.775667,71,29
0.775333,71,29
0.775,71,29
0.774667,71,29
0.774333,71,29
0.774,71,29
0.773667,71,29
0.773333,71,29
0.773,71,29
0.772667,71,29
0.772333,71,29
0.772,71,29
0.771667,71,29
0.771333,71,29
0.771,71,29
0.770667,71,29
0.770333,71,29
0.77,71,29
0.769667,71,29
0.769333,71,29
0.769,71,29
0.768667,71,29
0.768333,71,29
0.768,71,29
0.767667,71,29
0.767333,71,29
0.767,71,29
0.766667,71,29
0.766333,71,29
0.766,71,29
0.765667,71,29
0.765333,71,29
0.765,71,29
0.764667,71,29
0.764333,71,29
0.764,71,29
0.763667,71,29
0.763333,71,29
0.763,71,29
0.762667,71,29
0.762333,71,29
0.762,71,29
0.761667,71,29
0.761333,71,29
0.761,71,29
0.760667,71,29
0.760333,71,29
0.76,71,29
0.759667,71,29
0.759333,71,29
0.759,71,29
0.758667,71,29
0.758333,71,29
0.758,71,29
0.757667,71,29
0.757333,71,29
0.757,71,29
0.756667,71,29
0.756333,71,29
0.756,71,29
0.755667,71,29
0.755333,71,29
0.755,71,29
0.754667,71,29
0.754333,71,29
0.754,71,29
0.753667,71,29
0.753333,71,29
0.753,71,29
0.752667,71,29
0.752333,71,29
0.752,71,29
0.751667,71,29
0.751333,71,29
0.751,71,29
0.750667,71,29
0.750333,71,29
0.75,71.5,28.5
0.749667,71.5,28.5
0.749333,71.5,28.5
0.749,71.5,28.5
0.748667,71.5,28.5
0.748333,71.5,28.5
0.748,71.5,28.5
0.747667,71.5,28.5
0.747333,71.5,28.5
0.747,71.5,28.5
0.746667,71.5,28.5
0.746333,71.5,28.5
0.746,71.5,28.5
0.745667,71.5,28.5
0.745333,71.5,28.5
0.745,71.5,28.5
0.744667,71.5,28.5
0.744333,71.5,28.5
0.744,71.5,28.5
0.743667,71.5,28.5
0.743333,71.5,28.5
0.743,71.5,28.5
0.742667,71.5,28.5
0.742333,71.5,28.5
0.742,71.5,28.5
0.741667,71.5,28.5
0.741333,71.5,28.5
0.741,71.5,28.5
0.740667,71.5,28.5
0.740333,71.5,28.5
0.74,71.5,28.5
0.739667,71.5,28.5
0.739333,71.5,28.5
0.739,71.5,28.5
0.738667,71.5,28.5
0.738333,71.5,28.5
0.738,71.5,28.5
0.737667,71.5,28.5
0.737333,71.5,28.5
0.737,71.5,28.5
0.736667,71.5,28.5
0.736333,71.5,28.5
0.736,71.5,28.5
0.735667,71.5,28.5
0.735333,71.5,28.5
0.735,71.5,28.5
0.734667,71.5,28.5
0.734333,71.5,28.5
0.734,71.5,28.5
0.733667,71.5,28.5
0.733333,71.5,28.5
0.733,71.5,28.5
0.732667,71.5,28.5
0.732333,71.5,28.5
0.732,71.5,28.5
0.731667,71.5,28.5
0.731333,71.5,28.5
0.731,71.5,28.5
0.730667,71.5,28.5
0.730333,71.5,28.5
0.73,71.5,28.5
0.729667,71.5,28.5
0.729333,71.5,28.5
0.729,71.5,28.5
0.728667,71.5,28.5
0.728333,71.5,28.5
0.728,71.5,28.5
0.727667,71.5,28.5
0.727333,71.5,28.5
0.727,71.5,28.5
0.726667,71.5,28.5
0.726333,71.5,28.5
0.726,71.5,28.5
0.725667,71.5,28.5
0.725333,71.5,28.5
0.725,71.5,28.5
0.724667,71.5,28.5
0.724333,71.5,28.5
0.724,71.5,28.5
0.723667,71.5,28.5
0.723333,71.5,28.5
0.723,71.5,28.5
0.722667,71.5,28.5
0.722333,71.5,28.5
0.722,71.5,28.5
0.721667,71.5,28.5
0.721333,71.5,28.5
0.721,71.5,28.5
0.720667,71.5,28.5
0.720333,71.5,28.5
0.72,71.5,28.5
0.719667,71.5,28.5
0.719333,71.5,28.5
0.719,71.5,28.5
0.718667,71.5,28.5
0.718333,71.5,28.5
0.718,71.5,28.5
0.717667,71.5,28.5
0.717333,71.5,28.5
0.717,71.5,28.5
0.716667,71.5,28.5
